Day,Accident Type,# Accidents
"Oct 1, 2022",ACCIDENT_MAJOR,26
"Oct 1, 2022",ACCIDENT_MINOR,54
"Oct 2, 2022",ACCIDENT_MINOR,30
"Oct 2, 2022",ACCIDENT_MAJOR,20
"Oct 3, 2022",ACCIDENT_MINOR,50
"Oct 3, 2022",ACCIDENT_MAJOR,15
"Oct 4, 2022",ACCIDENT_MAJOR,18
"Oct 4, 2022",ACCIDENT_MINOR,57
"Oct 5, 2022",ACCIDENT_MAJOR,25
"Oct 5, 2022",ACCIDENT_MINOR,58
"Oct 6, 2022",ACCIDENT_MINOR,100
"Oct 6, 2022",ACCIDENT_MAJOR,25
"Oct 7, 2022",ACCIDENT_MINOR,113
"Oct 7, 2022",ACCIDENT_MAJOR,44
"Oct 8, 2022",ACCIDENT_MAJOR,38
"Oct 8, 2022",ACCIDENT_MINOR,65
"Oct 9, 2022",ACCIDENT_MINOR,55
"Oct 9, 2022",ACCIDENT_MAJOR,33
"Oct 10, 2022",ACCIDENT_MAJOR,20
"Oct 10, 2022",ACCIDENT_MINOR,68
"Oct 11, 2022",ACCIDENT_MAJOR,22
"Oct 11, 2022",ACCIDENT_MINOR,102
"Oct 12, 2022",ACCIDENT_MAJOR,23
"Oct 12, 2022",ACCIDENT_MINOR,37
"Oct 13, 2022",ACCIDENT_MAJOR,23
"Oct 13, 2022",ACCIDENT_MINOR,78
"Oct 14, 2022",ACCIDENT_MAJOR,37
"Oct 14, 2022",ACCIDENT_MINOR,141
"Oct 15, 2022",ACCIDENT_MAJOR,31
"Oct 15, 2022",ACCIDENT_MINOR,67
"Oct 16, 2022",ACCIDENT_MAJOR,16
"Oct 16, 2022",ACCIDENT_MINOR,37
"Oct 17, 2022",ACCIDENT_MINOR,100
"Oct 17, 2022",ACCIDENT_MAJOR,27
"Oct 18, 2022",ACCIDENT_MAJOR,25
"Oct 18, 2022",ACCIDENT_MINOR,91
"Oct 19, 2022",ACCIDENT_MINOR,68
"Oct 19, 2022",ACCIDENT_MAJOR,35
"Oct 20, 2022",ACCIDENT_MAJOR,28
"Oct 20, 2022",ACCIDENT_MINOR,84
"Oct 21, 2022",ACCIDENT_MINOR,106
"Oct 21, 2022",ACCIDENT_MAJOR,37
"Oct 22, 2022",ACCIDENT_MAJOR,30
"Oct 22, 2022",ACCIDENT_MINOR,45
"Oct 23, 2022",ACCIDENT_MINOR,39
"Oct 23, 2022",ACCIDENT_MAJOR,17
"Oct 24, 2022",ACCIDENT_MAJOR,29
"Oct 24, 2022",ACCIDENT_MINOR,59
"Oct 25, 2022",ACCIDENT_MINOR,78
"Oct 25, 2022",ACCIDENT_MAJOR,15
"Oct 26, 2022",ACCIDENT_MAJOR,37
"Oct 26, 2022",ACCIDENT_MINOR,95
"Oct 27, 2022",ACCIDENT_MAJOR,43
"Oct 27, 2022",ACCIDENT_MINOR,84
"Oct 28, 2022",ACCIDENT_MAJOR,32
"Oct 28, 2022",ACCIDENT_MINOR,88
"Oct 29, 2022",ACCIDENT_MINOR,80
"Oct 29, 2022",ACCIDENT_MAJOR,30
"Oct 30, 2022",ACCIDENT_MINOR,33
"Oct 30, 2022",ACCIDENT_MAJOR,27
"Oct 31, 2022",ACCIDENT_MAJOR,37
"Oct 31, 2022",ACCIDENT_MINOR,86
